company_name,industry,headquarters_city,headquarters_state,headquarters_country,employee_count,revenue_band,founded,website,technologies,description,primodato_url
Amazon,It is one of the world',s largest online retailers and a prominent provider of cloud infrastructure services. Internet Services and Retailing Seattle,Washington,United States,"5,000+",$500M+,Not disclosed (gated),amazon.com,"- Company Overview Amazon is a multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the world's largest online retailers and a prominent provider of cloud infrastructure services. with an employee range of 5,000+, and estimated revenue of $500M+. Amazon is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Amazon. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain amazon.com Industry Internet Services and Retailing Headquarters Seattle, Washington, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Alphabet Internet Services and Retailing | United States Meta Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free","Amazon is a multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence.",http://primodato.com/companies/amazon-0072
Walmart,"is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores,",providing a wide range of products at low prices. General Merchandisers Bentonville,Arkansas,United States,"5,000+",$500M+,Not disclosed (gated),walmart.com,"- Company Overview Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, providing a wide range of products at low prices. with an employee range of 5,000+, and estimated revenue of $500M+. Walmart is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Walmart. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain walmart.com Industry General Merchandisers Headquarters Bentonville, Arkansas, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Costco General Merchandisers | United States Target General Merchandisers | United States Macy's General Merchandisers | United States BJ's Wholesale Club General Merchandisers | United States Kohl's General Merchandisers | United States Primo Dato Log in Start free",Walmart Inc.,http://primodato.com/companies/walmart-1778
Apple,"Computers,",Office Equipment Cupertino,California,United States,"5,000+",$500M+,Not disclosed (gated),apple.com,"- Company Overview Apple Inc. is a global technology company that designs, manufactures, and markets consumer electronics, software, and services, including products such as the iPhone, Mac, iPad, and Apple Watch. with an employee range of 5,000+, and estimated revenue of $500M+. Apple is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Apple. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain apple.com Industry Computers, Office Equipment Headquarters Cupertino, California, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Dell Technologies Computers, Office Equipment | United States HP Computers, Office Equipment | United States Hewlett Packard Computers, Office Equipment | United States Super Micro Computer Computers, Office Equipment | United States Western Digital Computers, Office Equipment | United States Primo Dato Log in Start free","Apple Inc. is a global technology company that designs, manufactures, and markets consumer electronics, software, and services, including products such as the iPhone, Mac, iPad, and Apple Watch.",http://primodato.com/companies/apple-1633
Microsoft,"Microsoft Corporation is a global technology company that develops, manufactures, licenses, supports, and sells software, consumer electronics, personal computers,",and related services. Computer Software Redmond,Washington,United States,"5,000+",$500M+,Not disclosed (gated),microsoft.com,"- Company Overview Microsoft Corporation is a global technology company that develops, manufactures, licenses, supports, and sells software, consumer electronics, personal computers, and related services. with an employee range of 5,000+, and estimated revenue of $500M+. Microsoft is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Microsoft. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain microsoft.com Industry Computer Software Headquarters Redmond, Washington, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Oracle Computer Software | United States Salesforce Computer Software | United States Adobe Computer Software | United States Intuit Computer Software | United States ServiceNow Computer Software | United States Primo Dato Log in Start free",,http://primodato.com/companies/microsoft-7125
Alphabet,"is the parent company of Google and several other subsidiaries, focusing on technology, innovation, and investment across various sectors including internet services, life sciences,",and more. Internet Services and Retailing Mountain View,California,United States,"5,000+",$500M+,Not disclosed (gated),abc.xyz,"- Company Overview Alphabet Inc. is the parent company of Google and several other subsidiaries, focusing on technology, innovation, and investment across various sectors including internet services, life sciences, and more. with an employee range of 5,000+, and estimated revenue of $500M+. Alphabet is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Alphabet. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain abc.xyz Industry Internet Services and Retailing Headquarters Mountain View, California, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Amazon Internet Services and Retailing | United States Meta Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free",Alphabet Inc.,http://primodato.com/companies/alphabet-0047
Meta,"is a multinational technology company known for products like Facebook, Instagram, and WhatsApp, focusing on social media, virtual reality,",and the metaverse. Internet Services and Retailing Menlo Park,California,United States,"5,000+",$500M+,Not disclosed (gated),meta.com,"- Company Overview Meta Platforms, Inc. is a multinational technology company known for products like Facebook, Instagram, and WhatsApp, focusing on social media, virtual reality, and the metaverse. with an employee range of 5,000+, and estimated revenue of $500M+. Meta is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Meta. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain meta.com Industry Internet Services and Retailing Headquarters Menlo Park, California, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Amazon Internet Services and Retailing | United States Alphabet Internet Services and Retailing | United States Uber Internet Services and Retailing | United States Coupang Internet Services and Retailing | United States Booking.com Internet Services and Retailing | United States Primo Dato Log in Start free","Meta Platforms, Inc.",http://primodato.com/companies/meta-7935
Nvidia,"They are known for driving advancements in AI, computing,",and visual computing technologies. Semiconductors and Other Electronic Components Santa Clara,California,United States,"5,000+",$500M+,Not disclosed (gated),nvidia.com,"- Company Overview Nvidia is a technology company specializing in graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets. They are known for driving advancements in AI, computing, and visual computing technologies. with an employee range of 5,000+, and estimated revenue of $500M+. Nvidia is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Nvidia. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain nvidia.com Industry Semiconductors and Other Electronic Components Headquarters Santa Clara, California, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Broadcom Semiconductors and Other Electronic Components | United States Intel Semiconductors and Other Electronic Components | United States Qualcomm Semiconductors and Other Electronic Components | United States Micron Technology Semiconductors and Other Electronic Components | United States Advanced Micro Devices Semiconductors and Other Electronic Components | United States Primo Dato Log in Start free","Nvidia is a technology company specializing in graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets.",http://primodato.com/companies/nvidia-7145
Chevron,"Chevron Corporation is a major American multinational energy corporation involved in every aspect of the oil, natural gas, and geothermal energy industries, including exploration, production, refining,",and marketing. Petroleum Refining Houston,Texas,United States,"5,000+",$500M+,Not disclosed (gated),chevron.com,"- Company Overview Chevron Corporation is a major American multinational energy corporation involved in every aspect of the oil, natural gas, and geothermal energy industries, including exploration, production, refining, and marketing. with an employee range of 5,000+, and estimated revenue of $500M+. Chevron is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Chevron. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain chevron.com Industry Petroleum Refining Headquarters Houston, Texas, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Exxon Mobil Petroleum Refining | United States Marathon Petroleum Petroleum Refining | United States Phillips 66 Petroleum Refining | United States Valero Energy Petroleum Refining | United States PBF Energy Petroleum Refining | United States Primo Dato Log in Start free",,http://primodato.com/companies/chevron-0721
Exxon Mobil,"Exxon Mobil Corporation is a multinational oil and gas corporation engaged in the exploration, production, refining,",and distribution of petroleum products worldwide. Petroleum Refining Spring,Texas,United States,"5,000+",$500M+,Not disclosed (gated),exxonmobil.com,"- Company Overview Exxon Mobil Corporation is a multinational oil and gas corporation engaged in the exploration, production, refining, and distribution of petroleum products worldwide. with an employee range of 5,000+, and estimated revenue of $500M+. Exxon Mobil is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Exxon Mobil. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain exxonmobil.com Industry Petroleum Refining Headquarters Spring, Texas, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies Chevron Petroleum Refining | United States Marathon Petroleum Petroleum Refining | United States Phillips 66 Petroleum Refining | United States Valero Energy Petroleum Refining | United States PBF Energy Petroleum Refining | United States Primo Dato Log in Start free",,http://primodato.com/companies/exxon-mobil-8718
Ford Motor,Motor Vehicles &,Parts Dearborn,Michigan,United States,"5,000+",$500M+,Not disclosed (gated),ford.com,"- Company Overview Ford Motor Company is a global automotive manufacturer headquartered in Dearborn, Michigan, known for producing a wide range of vehicles including cars, trucks, and SUVs, and pioneering innovations in the automotive industry. with an employee range of 5,000+, and estimated revenue of $500M+. Ford Motor is included in PrimoDato's public Fortune 500 company directory, helping search users discover high-value company pages before they reveal premium contacts or technographics. This public preview includes the core firmographic profile for Ford Motor. Reveal the company on PrimoDato to unlock premium contacts, direct emails, and full technographic details. Firmographic Data Primary domain ford.com Industry Motor Vehicles & Parts Headquarters Dearborn, Michigan, United States Company size 5,000+ Revenue band $500M+ Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Technologies (0) Contacts (1) Products & services (0) Partners (0) Latest news & activity (0) Company info Unlock full profile Reveal this company to see technologies, contacts, products and services, partners, activity, and complete company details. Reveal profile Data quality 60 out of 100 Buying Signals No active signals detected Vertical Fit: Current score Buying signals unlock after revealing this company profile. Reveal to unlock Similar companies General Motors Motor Vehicles & Parts | United States Tesla Motor Vehicles & Parts | United States Paccar Motor Vehicles & Parts | United States Lear Motor Vehicles & Parts | United States Goodyear Tire & Rubber Motor Vehicles & Parts | United States Primo Dato Log in Start free","Ford Motor Company is a global automotive manufacturer headquartered in Dearborn, Michigan, known for producing a wide range of vehicles including cars, trucks, and SUVs, and pioneering innovations in the automotive industry.",http://primodato.com/companies/ford-motor-0739
